"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"global_id";"Название спортивного объекта";"Название спортивной зоны в зимний период";"Фотография в зимний период";"Административный округ";"Район";"Адрес";"Адрес электронной почты";"Адрес сайта";"Справочный телефон";"Добавочный номер";"График работы в зимний период";"Уточнение графика работы в зимний период";"Возможность проката оборудования";"Комментарии для проката оборудования";"Наличие сервиса технического обслуживания";"Комментарии для сервиса технического обслуживания";"Наличие раздевалки";"Наличие точки питания";"Наличие туалета";"Наличие точки Wi-Fi";"Наличие банкомата";"Наличие медпункта";"Наличие звукового сопровождения";"Период эксплуатации в зимний период";"Размеры в зимний период";"Освещение";"Покрытие в зимний период";"Количество оборудованных посадочных мест";"Форма посещения (платность)";"Комментарии к стоимости посещения";"Приспособленность для занятий инвалидов";"Услуги предоставляемые в зимний период";"geoData";"geodata_center";
"2644349827";"Автодром «Русская школа картинга «Пилот»";"Автодром спортивный открытый, «Русская школа картинга «Пилот»»";"nested data";"Северо-Восточный административный округ";"район Северное Медведково";"проезд Шокальского, дом 52";"info@ruskart.ru";"x-tipilot.ru";"(926) 772-88-89";"";"nested data";"";"да";"защитная экипировка, прокат, платно, круглый год ";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"освещение светодиодными лампами";"асфальтовое, бетонное покрытие";"0";"платно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.669809601, 55.88280021], type=Point}";"";
"2644351070";"Автодром «Русская спортивная компания»";"Автодром спортивный открытый, «Картингдром»";"nested data";"Юго-Восточный административный округ";"район Марьино";"улица Верхние Поля, владение 25А, строение 1";"ANO-RSK@rambler.ru";"www.autorossport.ru";"(495) 507-06-23";"";"nested data";"";"нет";"";"да";"";"да";"да";"да";"нет";"нет";"нет";"да";"01.09-31.08";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"20";"платно";"стоимость уточнять по телефону";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.785303114, 55.659768535], type=Point}";"";
"2644394006";"Школа картинга «Перово картинг»";"Автодром спортивный открытый";"nested data";"Восточный административный округ";"район Новогиреево";"улица Новотетёрки, дом 1";"mail@kartings.ru";"kartings.ru/project/perovo";"(495) 477-96-27";"";"nested data";"";"да";"шлем, прокат, 10 шт., платно, круглый год ";"да";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.09-31.08";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"";"общая физическая подготовка";"{coordinates=[37.794244426, 55.741172151], type=Point}";"";
"2644397922";"Центр технических видов спорта «Москва»";"Автодром спортивный открытый №4, «Площадка для авто-мото занятий 150х150 м»";"nested data";"Юго-Восточный административный округ";"район Печатники";"Курьяновская набережная, дом 17, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"0";"платно";"";"";"общая физическая подготовка";"{coordinates=[37.682724342, 55.653547686], type=Point}";"";
"2644397923";"Центр технических видов спорта «Москва»";"Автодром спортивный открытый №2, «Картинговая трасса»";"nested data";"Юго-Восточный административный округ";"район Печатники";"Курьяновская набережная, дом 17, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"да";"карт, прокат, 25 шт., платно, круглый год ";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"30";"платно";"";"";"общая физическая подготовка";"{coordinates=[37.67443108, 55.654255548], type=Point}";"";
"2644397937";"Центр технических видов спорта «Москва»";"Автодром спортивный открытый №3, «Многофункциональная трасса»";"nested data";"Юго-Восточный административный округ";"район Печатники";"Курьяновская набережная, дом 17, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"1368";"платно";"";"";"общая физическая подготовка";"{coordinates=[37.680059644, 55.653620641], type=Point}";"";
"2644399471";"Центр технических видов спорта «Москва»";"Автодром спортивный открытый №6, «Площадка для авто-мото занятий 146х95 м»";"nested data";"Юго-Восточный административный округ";"район Печатники";"Курьяновская набережная, дом 17, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"0";"платно";"";"";"общая физическая подготовка";"{coordinates=[37.680793624, 55.654887027], type=Point}";"";
"2644399499";"Центр технических видов спорта «Москва»";"Автодром спортивный открытый №5, «Площадка для авто-мото занятий 56х56 м»";"nested data";"Юго-Восточный административный округ";"район Печатники";"Курьяновская набережная, дом 17, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"без дополнительного освещения";"асфальтовое, бетонное покрытие";"0";"платно";"";"";"общая физическая подготовка";"{coordinates=[37.676137309, 55.654583729], type=Point}";"";
"2645510407";"Центр технических видов спорта «Москва»";"Автодром спортивный открытый №1, «Мотокроссовая трасса»";"nested data";"Юго-Восточный административный округ";"район Печатники";"Курьяновская набережная, дом 17, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"грунтовое покрытие";"1364";"платно";"";"";"общая физическая подготовка";"{coordinates=[37.678311377, 55.652350159], type=Point}";"";
"2645511703";"Автодром ДОСААФ России Юго-Восточного административного округа г. Москвы";"Автодром спортивный открытый";"nested data";"Юго-Восточный административный округ";"район Кузьминки";"улица Заречье, дом 3А, строение 1";"dosaafuvao@mail.ru";"centrdosaaf.ru";"(495) 376-30-10";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"0";"платно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.77133435, 55.688151592], type=Point}";"";
"2645512431";"Картинг-клуб «Диксодром»";"Автодром спортивный открытый";"nested data";"Восточный административный округ";"район Измайлово";"Измайловское шоссе, земельный участок 73В/1";"sportivno1888@yandex.ru";"dixxodrom.ru";"(499) 367-18-88";"";"nested data";"";"нет";"";"нет";"";"нет";"да";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"0";"платно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.758290357, 55.78891325], type=Point}";"";
"2645545405";"Автодром «АМК Внуково»";"Автодром спортивный открытый";"nested data";"Новомосковский административный округ";"поселение Московский";"поселение Московский, Киевское шоссе, 28-й километр, владение 2, строение 1";"";"adm-moskovsky.ru";"(495) 841-81-47";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.317947635, 55.604479968], type=Point}";"";
